subject1	verb1	object1	subject2	verb2	object2	score	st_dev
medication	achieve	result	drug	produce	effect	6.16	0.924337600663
medication	achieve	result	man	lift	hand	1.04545454545	0.208298895225
medication	achieve	result	student	reach	level	1.84	1.46095858942
member	attend	conference	case	require	attention	1.29166666667	0.538451999305
member	attend	conference	group	hold	meeting	4.625	1.31695671911
member	attend	conference	people	share	interest	2.95454545455	1.66453031124
member	express	view	company	suffer	loss	1.08	0.271293199325
member	express	view	pupil	achieve	end	1.76	1.06883113727
mother	leave	house	family	buy	home	1.54545454545	0.782029569731
mother	leave	house	school	encourage	child	1.04	0.195959179423
page	provide	datum	student	reach	level	1.28	0.664529909033
panel	discuss	issue	project	present	problem	3.73913043478	1.53841791417
paper	address	question	project	present	problem	4.36363636364	1.29844153246
paper	address	question	study	pose	problem	3.64	1.09105453576
parent	set	example	company	provide	system	1.875	1.30104124967
patient	need	treatment	programme	offer	support	2.08695652174	1.2824244525
patient	need	treatment	system	use	method	1.24	0.512249938995
people	play	game	worker	join	party	2.5	1.36014705087
people	remember	name	physician	pass	time	1.0	0.0
people	share	interest	authority	exercise	influence	1.32	0.733212111193
people	share	interest	member	express	view	3.625	1.703244453
physician	pass	time	road	cross	line	1.04	0.195959179423
plan	increase	number	design	reduce	amount	1.45454545455	0.721568539381
product	satisfy	demand	commodity	meet	requirement	5.28	1.28124939024
product	satisfy	demand	study	emphasise	need	1.52	0.984682690007
programme	face	difficulty	parent	set	example	1.08	0.271293199325
programme	offer	support	road	cross	line	1.0	0.0
programme	offer	support	service	provide	help	5.64	1.05375518979
project	present	problem	programme	face	difficulty	4.8	1.49666295471
pupil	achieve	end	gentleman	close	eye	1.28	0.872696969171
pupil	achieve	end	student	reach	level	6.08695652174	0.775328456527
pupil	use	knowledge	authority	exercise	influence	1.92	1.38332931726
pupil	use	knowledge	company	provide	system	1.32	0.545527267879
pupil	use	knowledge	student	acquire	skill	4.84	1.08369737473
question	raise	head	paper	address	question	2.66666666667	1.40435829553
report	stress	importance	company	cut	cost	1.375	0.695970545354
report	stress	importance	firm	cause	injury	1.08	0.271293199325
report	stress	importance	study	emphasise	need	5.16	1.8906083677
researcher	develop	technique	government	use	power	1.4	0.632455532034
researcher	develop	technique	system	use	method	3.28	1.37171425596
road	cross	line	route	follow	road	3.31818181818	1.22052014383
route	follow	road	parent	set	example	1.91304347826	1.44201077842
school	encourage	child	employee	leave	company	1.04	0.195959179423
service	provide	help	product	satisfy	demand	3.16666666667	1.67497927019
service	provide	help	researcher	develop	technique	2.08695652174	1.31589095221
student	acquire	skill	doctor	use	test	1.20833333333	0.498260864296
student	acquire	skill	family	buy	home	1.32	0.881816307402
study	pose	problem	programme	face	difficulty	3.95833333333	1.85919262644
superpower	fight	war	force	win	battle	4.31818181818	1.32755289696
superpower	fight	war	plan	increase	number	1.04	0.195959179423
superpower	fight	war	team	win	match	2.20833333333	1.4427741411
survey	collect	information	page	provide	datum	3.26086956522	1.53841791417
team	win	match	design	reduce	amount	1.0	0.0
team	win	match	people	play	game	4.04166666667	0.978057882859
user	send	message	family	receive	letter	3.20833333333	1.55400468325
user	send	message	man	hear	word	2.84	1.48808601902
wife	pour	tea	study	emphasise	need	1.0	0.0
wife	pour	tea	woman	drink	water	2.69565217391	0.952560969574
wife	pour	tea	worker	join	party	1.08333333333	0.276385399196
woman	ask	man	father	stretch	arm	1.04	0.195959179423
woman	ask	man	user	send	message	2.21739130435	1.06143961876
woman	drink	water	doctor	use	test	1.125	0.438985573036
woman	drink	water	system	use	method	1.08333333333	0.399652626943
worker	join	party	employee	leave	company	1.4	0.565685424949
writer	read	word	family	receive	letter	2.09090909091	1.31110955471
writer	read	word	people	remember	name	1.44	0.752595508889
